timestamp,can_direction,can_power_w,can_soc_percent,ocpp_reported_direction,ocpp_reported_power_w,ids_decision,label,protocol
1763122460.3276632,Import,11000,77,Import,11000,Tutarlı (Normal),normal,1.6
1763122462.3289669,Import,11000,78,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122464.340347,Import,11000,79,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122466.3352423,Import,11000,80,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122468.3372378,Import,11000,81,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122470.3380005,Import,11000,82,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122472.339175,Import,11000,83,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122474.3416145,Import,11000,84,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122476.3433564,Import,11000,85,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122478.344757,Import,11000,86,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122480.347056,Import,11000,87,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122482.3492112,Import,11000,88,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122484.3520873,Import,11000,89,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122486.3531034,Import,11000,90,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122488.3546402,Import,11000,91,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122490.3562624,Import,11000,92,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122492.3576868,Import,11000,93,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122494.3600721,Import,11000,94,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122496.3617685,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122498.3625777,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122500.3643034,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122502.3653746,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122504.366682,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122506.3683746,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122508.3737352,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122510.3740296,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122512.3748071,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122514.3758976,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122516.3773973,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122518.3792868,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122520.3800821,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122522.3814187,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122524.3829718,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122526.3837392,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122528.38524,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122530.3860402,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122532.390442,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122534.3910723,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122536.3926516,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122538.395151,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122540.3970208,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122542.3977072,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122544.3988817,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
1763122546.400152,Import,11000,95,Export,10000,ANOMALİ (Import/Export Çakışması - 1.6 Tespiti),anomaly,1.6
